NeuroLKH,200,ALPHA,trials,1,1,10704145.003,46.11087002784727
LKH,200,ALPHA,trials,10,10,10703735.593,138.38800899999995
NeuroLKH,200,ALPHA,trials,10,10,10702154.46,79.47870202784725
LKH,200,ALPHA,trials,100,100,10701758.416,471.97002899999995
NeuroLKH,200,ALPHA,trials,100,100,10701421.993,361.2119670278471
LKH,200,ALPHA,trials,1000,1000,10701350.72,3736.0041350000006
NeuroLKH,200,ALPHA,trials,1000,1000,10701307.18,3092.249106027841
LKH,200,ALPHA,timelimit,1,1,10707095.722,98.96527099999999
NeuroLKH,200,ALPHA,timelimit,1,16,10701887.511,99.48324302784737
LKH,200,ALPHA,timelimit,10,10,10703735.593,138.38800899999995
NeuroLKH,200,ALPHA,timelimit,10,28,10701686.702,138.49282402784723
LKH,200,ALPHA,timelimit,100,100,10701758.416,471.97002899999995
NeuroLKH,200,ALPHA,timelimit,100,136,10701378.704,472.3055680278468
LKH,200,ALPHA,timelimit,1000,1000,10701350.72,3736.0041350000006
NeuroLKH,200,ALPHA,timelimit,1000,1000,10701307.18,3092.249106027841
LKH,500,ALPHA,trials,1,1,16556610.247,450.93051199999957
NeuroLKH,500,ALPHA,trials,1,1,16550917.803,143.25730431750475
LKH,500,ALPHA,trials,10,10,16548019.776,587.4982990000005
NeuroLKH,500,ALPHA,trials,10,10,16544245.276,292.6118963175051
LKH,500,ALPHA,trials,100,100,16543726.223,1512.4995050000007
NeuroLKH,500,ALPHA,trials,100,100,16542191.333,1477.9657393175055
LKH,500,ALPHA,trials,1000,1000,16542125.444,10253.952686999986
NeuroLKH,500,ALPHA,trials,1000,1000,16541850.205,12911.45605031749
LKH,500,ALPHA,timelimit,1,1,16556610.247,450.93051199999957
NeuroLKH,500,ALPHA,timelimit,1,22,16543143.592,456.86654431750475
LKH,500,ALPHA,timelimit,10,10,16548019.776,587.4982990000005
NeuroLKH,500,ALPHA,timelimit,10,32,16542819.155,589.0375233175055
LKH,500,ALPHA,timelimit,100,100,16543726.223,1512.4995050000007
NeuroLKH,500,ALPHA,timelimit,100,103,16542190.926,1517.0893513175063
LKH,500,ALPHA,timelimit,1000,1000,16542125.444,10253.952686999986
NeuroLKH,500,ALPHA,timelimit,1000,790,16541853.58,10262.23276031749
LKH,1000,ALPHA,trials,1,1,23155937.742,1652.864605999999
NeuroLKH,1000,ALPHA,trials,1,1,23148300.17,351.32779245718393
LKH,1000,ALPHA,trials,10,10,23143416.968,1956.1836380000013
NeuroLKH,1000,ALPHA,trials,10,10,23136823.451,769.1913004571838
LKH,1000,ALPHA,trials,100,100,23135399.752,3509.973276999999
NeuroLKH,1000,ALPHA,trials,100,100,23132118.106,3732.3809204571835
LKH,1000,ALPHA,trials,1000,1000,23132154.461,17574.701425999996
NeuroLKH,1000,ALPHA,trials,1000,1000,23131321.192,32221.97571645716
LKH,1000,ALPHA,timelimit,1,1,23155937.742,1652.864605999999
NeuroLKH,1000,ALPHA,timelimit,1,36,23133473.275,1665.1463924571874
LKH,1000,ALPHA,timelimit,10,10,23143416.968,1956.1836380000013
NeuroLKH,1000,ALPHA,timelimit,10,45,23133004.099,1961.0103174571818
LKH,1000,ALPHA,timelimit,100,100,23135399.752,3509.973276999999
NeuroLKH,1000,ALPHA,timelimit,100,93,23132193.941,3513.1924944571842
LKH,1000,ALPHA,timelimit,1000,1000,23132154.461,17574.701425999996
NeuroLKH,1000,ALPHA,timelimit,1000,537,23131385.111,17588.451100457194
LKH,2000,ALPHA,trials,1,1,32484517.489,6374.625838000005
NeuroLKH,2000,ALPHA,trials,1,1,32477248.252,824.5802863673242
LKH,2000,ALPHA,trials,10,10,32467423.844,6977.682656999998
NeuroLKH,2000,ALPHA,trials,10,10,32458242.934,1833.1520723673257
LKH,2000,ALPHA,trials,100,100,32455504.166,9585.394152999997
NeuroLKH,2000,ALPHA,trials,100,100,32449190.658,8422.199741367318
LKH,2000,ALPHA,trials,1000,1000,32448926.521,32899.055496
NeuroLKH,2000,ALPHA,trials,1000,1000,32446905.534,71935.65385936727
LKH,2000,ALPHA,timelimit,1,1,32484517.489,6374.625838000005
NeuroLKH,2000,ALPHA,timelimit,1,72,32449876.695,6440.469311367322
LKH,2000,ALPHA,timelimit,10,10,32467423.844,6977.682656999998
NeuroLKH,2000,ALPHA,timelimit,10,80,32449639.056,7004.436101367319
LKH,2000,ALPHA,timelimit,100,100,32455504.166,9585.394152999997
NeuroLKH,2000,ALPHA,timelimit,100,117,32448883.348,9632.465934367321
LKH,2000,ALPHA,timelimit,1000,1000,32448926.521,32899.055496
NeuroLKH,2000,ALPHA,timelimit,1000,448,32447274.95,32946.619258367304
LKH,5000,ALPHA,trials,1,1,51025201.301,39629.49163199998
VSR-LKH,5000,ALPHA,trials,1,1,51025655.528,37256.53755899998
LKH,5000,ALPHA,trials,10,10,50998871.393,41214.50461800003
VSR-LKH,5000,ALPHA,trials,10,10,50988510.181,41292.67124399999
LKH,5000,ALPHA,trials,100,100,50976940.497,47893.03009800007
VSR-LKH,5000,ALPHA,trials,100,100,50966988.448,85514.013628
LKH,5000,ALPHA,trials,1000,1000,50965119.166,107388.12761299993
VSR-LKH,5000,ALPHA,trials,1000,1000,50961711.776,507710.58716900006
LKH,5000,ALPHA,timelimit,1,1,51025201.301,39629.49163199998
VSR-LKH,5000,ALPHA,timelimit,1,7,50994199.262,39963.277055000006
LKH,5000,ALPHA,timelimit,10,10,50998871.393,41214.50461800003
VSR-LKH,5000,ALPHA,timelimit,10,10,50988510.181,41292.67124399999
LKH,5000,ALPHA,timelimit,100,100,50976940.497,47893.03009800007
VSR-LKH,5000,ALPHA,timelimit,100,25,50976636.781,48196.51006099999
LKH,5000,ALPHA,timelimit,1000,1000,50965119.166,107388.12761299993
VSR-LKH,5000,ALPHA,timelimit,1000,143,50965642.526,107466.28351999995
